SaleID,SaleDate,CustomerID,ProductID,SalesRepID,Quantity,UnitPrice,Discount,TotalAmount,PaymentMethod
51,2025-12-05,CUS326,PRO001,SR009,5,769936.00,10.95,3428140.04,Card
52,2025-11-04,CUS164,PRO060,SR004,5,43460.00,12.97,189116.19,"Bank Transfer"
53,2025-05-23,CUS292,PRO012,SR006,2,970378.00,6.74,1809949.05,"Bank Transfer"
54,2025-12-15,CUS023,PRO007,SR012,1,392739.00,10.40,351894.14,"Bank Transfer"
55,2025-11-17,CUS130,PRO101,SR004,5,77476.00,14.62,330745.04,Card
56,2025-11-29,CUS108,PRO104,SR015,5,84917.00,7.79,391509.83,Cash
57,2025-05-28,CUS036,PRO091,SR010,2,656266.00,1.66,1290743.97,"Bank Transfer"
58,2025-09-15,CUS127,PRO082,SR019,5,443346.00,13.26,1922791.60,"Mobile Money"
59,2025-10-07,CUS256,PRO120,SR005,4,276254.00,9.41,1001033.99,"Mobile Money"
60,2025-06-26,CUS132,PRO080,SR004,5,838717.00,10.15,3767936.12,Card
61,2025-12-12,CUS060,PRO107,SR011,1,54346.00,4.45,51927.60,"Mobile Money"
62,2025-02-20,CUS374,PRO103,SR004,5,97867.00,2.69,476171.89,Cash
63,2025-09-08,CUS476,PRO021,SR004,5,808631.00,3.41,3905283.41,"Mobile Money"
64,2025-08-24,CUS282,PRO094,SR012,4,133644.00,11.74,471816.78,"Mobile Money"
65,2025-04-15,CUS373,PRO082,SR018,1,443346.00,7.74,409031.02,"Mobile Money"
66,2025-09-17,CUS331,PRO095,SR002,3,755415.00,1.21,2238823.44,Card
67,2025-04-09,CUS268,PRO104,SR007,3,84917.00,2.94,247261.32,"Mobile Money"
68,2025-12-26,CUS407,PRO071,SR020,3,984868.00,0.82,2930376.25,"Mobile Money"
69,2025-10-14,CUS204,PRO073,SR001,1,735246.00,3.13,712232.80,Card
70,2025-12-02,CUS372,PRO079,SR020,2,487446.00,5.32,923027.75,"Bank Transfer"
71,2025-06-18,CUS341,PRO088,SR017,5,463459.00,10.22,2080467.45,Card
72,2025-01-21,CUS351,PRO061,SR019,3,9550.00,2.46,27945.21,"Mobile Money"
73,2025-08-11,CUS013,PRO082,SR001,2,443346.00,11.30,786495.80,"Mobile Money"
74,2025-11-18,CUS213,PRO031,SR012,4,467119.00,9.04,1699565.77,"Bank Transfer"
75,2025-07-31,CUS234,PRO017,SR013,1,834495.00,9.41,755969.02,Cash
76,2025-03-03,CUS177,PRO117,SR014,5,104211.00,12.50,455923.13,Card
77,2025-12-31,CUS089,PRO117,SR005,2,104211.00,5.21,197563.21,"Mobile Money"
78,2025-04-18,CUS425,PRO119,SR020,3,312835.00,12.27,823350.44,Cash
79,2025-09-28,CUS365,PRO075,SR005,5,1072974.00,1.13,5304246.97,Card
80,2025-05-14,CUS143,PRO100,SR007,5,474646.00,3.47,2290878.92,Cash
81,2025-10-25,CUS310,PRO011,SR019,2,729352.00,1.30,1439740.85,"Mobile Money"
82,2025-07-22,CUS004,PRO034,SR009,5,183211.00,6.43,857152.66,Card
83,2025-07-17,CUS151,PRO047,SR005,1,734201.00,4.93,698004.89,"Bank Transfer"
84,2025-04-13,CUS498,PRO037,SR005,4,240410.00,10.05,864995.18,Card
85,2025-05-02,CUS121,PRO095,SR018,2,755415.00,1.09,1494361.95,Card
86,2025-05-15,CUS302,PRO015,SR020,4,473459.00,0.64,1881715.45,"Bank Transfer"
87,2025-11-06,CUS068,PRO049,SR003,2,16895.00,12.02,29728.44,"Mobile Money"
88,2025-12-02,CUS073,PRO019,SR006,3,719759.00,7.69,1993228.60,Cash
89,2025-04-12,CUS004,PRO022,SR009,3,620784.00,4.82,1772586.63,Card
90,2025-12-29,CUS141,PRO018,SR004,2,354091.00,5.71,667744.81,"Mobile Money"
91,2025-08-11,CUS014,PRO115,SR010,5,224924.00,12.84,980218.79,Card
92,2025-10-09,CUS176,PRO085,SR004,1,796568.00,9.32,722327.86,"Mobile Money"
93,2025-11-27,CUS130,PRO006,SR015,2,538563.00,11.49,953364.22,Cash
94,2025-11-22,CUS029,PRO049,SR006,2,16895.00,3.08,32749.27,"Mobile Money"
95,2025-08-22,CUS479,PRO104,SR020,4,84917.00,11.79,299621.14,"Mobile Money"
96,2025-05-29,CUS002,PRO040,SR009,1,488127.00,5.88,459425.13,"Mobile Money"
97,2025-08-17,CUS059,PRO020,SR005,3,485778.00,2.73,1417548.78,"Bank Transfer"
98,2025-02-04,CUS326,PRO111,SR020,3,92798.00,1.19,275081.11,Cash
99,2025-09-04,CUS005,PRO069,SR002,3,51744.00,3.27,150155.91,"Bank Transfer"
100,2025-09-19,CUS467,PRO032,SR016,3,823634.00,0.71,2453358.60,Card
101,2025-04-09,CUS346,PRO035,SR007,3,241141.00,4.92,687830.59,Card
102,2025-07-07,CUS455,PRO099,SR018,5,388577.00,11.75,1714596.01,Cash
103,2025-10-04,CUS412,PRO043,SR019,5,204952.00,5.21,971370.00,"Bank Transfer"
104,2025-07-19,CUS452,PRO045,SR018,1,219710.00,2.51,214195.28,Cash
105,2025-09-15,CUS021,PRO068,SR017,2,67949.00,1.57,133764.40,Cash
106,2025-06-25,CUS352,PRO040,SR012,5,488127.00,7.16,2265885.53,"Mobile Money"
107,2025-06-23,CUS394,PRO049,SR005,4,16895.00,11.06,60105.65,Cash
108,2025-03-08,CUS449,PRO095,SR001,3,755415.00,2.14,2217747.36,Card
109,2025-11-09,CUS320,PRO005,SR013,2,441778.00,1.48,870479.37,"Mobile Money"
110,2025-04-29,CUS111,PRO095,SR012,3,755415.00,0.14,2263072.26,"Bank Transfer"
111,2025-04-16,CUS062,PRO010,SR002,2,536463.00,2.98,1040952.81,"Mobile Money"
112,2025-05-31,CUS010,PRO071,SR007,5,984868.00,9.25,4468838.55,Cash
113,2025-04-13,CUS279,PRO091,SR006,2,656266.00,12.90,1143215.37,"Mobile Money"
114,2025-10-28,CUS039,PRO077,SR002,1,1097724.00,0.20,1095528.55,Cash
115,2025-10-28,CUS054,PRO043,SR005,2,204952.00,5.68,386621.45,"Mobile Money"
116,2025-05-26,CUS010,PRO083,SR012,5,186604.00,5.64,880397.67,"Mobile Money"
117,2025-10-16,CUS344,PRO022,SR009,4,620784.00,6.50,2321732.16,"Bank Transfer"
118,2025-11-02,CUS389,PRO105,SR009,1,88497.00,6.16,83045.58,"Mobile Money"
119,2025-03-03,CUS480,PRO038,SR005,1,323307.00,13.25,280468.82,Cash
120,2025-09-08,CUS424,PRO061,SR001,5,9550.00,10.08,42936.80,Card
121,2025-04-27,CUS399,PRO073,SR009,3,735246.00,11.80,1945460.92,Cash
122,2025-07-30,CUS022,PRO036,SR019,2,453702.00,4.92,862759.72,"Mobile Money"
123,2025-07-14,CUS082,PRO027,SR011,1,360130.00,5.96,338666.25,Card
124,2025-09-22,CUS042,PRO086,SR007,4,765282.00,5.76,2884807.03,Card
125,2025-11-17,CUS130,PRO026,SR007,1,792985.00,7.16,736207.27,"Mobile Money"
126,2025-11-22,CUS445,PRO027,SR006,3,360130.00,7.17,1002926.04,Cash
127,2025-02-11,CUS064,PRO054,SR007,1,32270.00,2.10,31592.33,Cash
128,2025-05-10,CUS485,PRO011,SR002,3,729352.00,11.17,1943650.14,"Bank Transfer"
129,2025-05-29,CUS488,PRO117,SR017,5,104211.00,12.92,453734.69,Card
130,2025-03-05,CUS368,PRO099,SR013,5,388577.00,5.80,1830197.67,"Bank Transfer"
131,2025-03-01,CUS149,PRO086,SR003,3,765282.00,10.68,2050649.65,"Bank Transfer"
132,2025-05-08,CUS494,PRO096,SR008,4,501784.00,7.75,1851582.96,Cash
133,2025-05-27,CUS478,PRO090,SR004,3,79687.00,11.47,211640.70,"Bank Transfer"
134,2025-10-07,CUS378,PRO039,SR017,5,302114.00,10.37,1353923.89,"Mobile Money"
135,2025-12-25,CUS268,PRO066,SR020,4,108304.00,14.36,371006.18,Cash
136,2025-07-26,CUS007,PRO058,SR004,5,33720.00,6.46,157708.44,"Bank Transfer"
137,2025-02-12,CUS244,PRO080,SR009,2,838717.00,6.04,1576116.99,Card
138,2025-05-27,CUS085,PRO068,SR013,4,67949.00,10.37,243610.75,"Mobile Money"
139,2025-07-12,CUS197,PRO015,SR018,5,473459.00,4.15,2269052.26,"Mobile Money"
140,2025-06-06,CUS129,PRO034,SR014,1,183211.00,14.97,155784.31,Cash
141,2025-06-22,CUS221,PRO100,SR016,3,474646.00,2.79,1384210.13,"Mobile Money"
142,2025-01-18,CUS059,PRO056,SR019,1,25963.00,12.66,22676.08,"Bank Transfer"
143,2025-07-29,CUS133,PRO023,SR019,4,919410.00,4.24,3521708.06,Cash
144,2025-04-09,CUS303,PRO011,SR019,2,729352.00,6.78,1359803.87,"Mobile Money"
145,2025-03-13,CUS181,PRO070,SR016,5,91372.00,11.24,405508.94,"Bank Transfer"
146,2025-04-26,CUS472,PRO063,SR005,3,36766.00,5.66,104055.13,Card
147,2025-05-16,CUS269,PRO078,SR014,5,538185.00,9.00,2448741.75,Cash
148,2025-03-28,CUS311,PRO071,SR002,5,984868.00,9.36,4463421.78,Card
149,2025-08-22,CUS268,PRO070,SR002,1,91372.00,14.91,77748.43,Cash
150,2025-06-21,CUS424,PRO111,SR012,1,92798.00,11.78,81866.40,"Mobile Money"
151,2025-07-19,CUS494,PRO080,SR003,2,838717.00,4.49,1602117.21,"Mobile Money"
152,2025-09-06,CUS492,PRO045,SR001,1,219710.00,9.55,198727.70,Card
153,2025-07-24,CUS268,PRO112,SR012,2,659865.00,3.57,1272615.64,Cash
154,2025-04-26,CUS088,PRO019,SR002,4,719759.00,6.56,2690171.24,Card
155,2025-06-29,CUS009,PRO046,SR015,4,499073.00,8.31,1830400.13,"Mobile Money"
156,2025-11-12,CUS452,PRO033,SR002,1,235916.00,9.24,214117.36,Card
157,2025-05-17,CUS241,PRO055,SR002,3,28348.00,0.43,84678.31,"Mobile Money"
158,2025-11-04,CUS121,PRO097,SR018,2,229898.00,14.96,391010.52,Cash
159,2025-09-22,CUS174,PRO039,SR019,5,302114.00,9.70,1364044.71,"Bank Transfer"
160,2025-12-22,CUS328,PRO024,SR007,2,457302.00,12.19,803113.77,Card
161,2025-01-06,CUS345,PRO080,SR007,1,838717.00,1.01,830245.96,"Mobile Money"
162,2025-01-13,CUS123,PRO104,SR006,5,84917.00,12.02,373549.88,"Mobile Money"
163,2025-07-04,CUS484,PRO042,SR014,3,174161.00,0.68,518930.12,Card
164,2025-07-30,CUS417,PRO115,SR003,4,224924.00,14.71,767350.72,"Mobile Money"
165,2025-08-29,CUS326,PRO006,SR011,2,538563.00,12.83,938930.73,"Bank Transfer"
166,2025-02-13,CUS499,PRO119,SR010,3,312835.00,11.28,832641.64,Card
167,2025-01-21,CUS472,PRO056,SR005,5,25963.00,10.77,115833.92,Cash
168,2025-06-15,CUS362,PRO027,SR017,3,360130.00,14.32,925678.15,Card
169,2025-06-24,CUS123,PRO107,SR003,3,54346.00,0.44,162320.63,Card
170,2025-12-05,CUS010,PRO080,SR011,2,838717.00,14.37,1436386.73,"Mobile Money"
171,2025-06-27,CUS293,PRO015,SR014,1,473459.00,5.83,445856.34,Card
172,2025-10-01,CUS107,PRO022,SR003,3,620784.00,6.11,1748562.29,"Bank Transfer"
173,2025-09-30,CUS080,PRO088,SR003,5,463459.00,2.04,2270022.18,Card
174,2025-10-17,CUS425,PRO114,SR002,2,536190.00,14.57,916134.23,Cash
175,2025-06-17,CUS272,PRO078,SR013,1,538185.00,14.50,460148.18,Card
176,2025-11-01,CUS280,PRO076,SR016,2,362309.00,14.87,616867.30,Cash
177,2025-04-01,CUS122,PRO069,SR012,5,51744.00,8.24,237401.47,"Bank Transfer"
178,2025-09-04,CUS457,PRO108,SR015,1,37237.00,8.48,34079.30,"Bank Transfer"
179,2025-01-17,CUS411,PRO029,SR007,4,830663.00,12.95,2892368.57,"Bank Transfer"
180,2025-06-13,CUS020,PRO052,SR008,2,40491.00,4.26,77532.17,Card
181,2025-05-21,CUS436,PRO047,SR007,5,734201.00,13.10,3190103.35,Card
182,2025-07-24,CUS221,PRO081,SR015,2,453792.00,13.22,787601.40,Cash
183,2025-10-05,CUS058,PRO057,SR014,4,23405.00,5.84,88152.59,"Bank Transfer"
184,2025-09-02,CUS188,PRO038,SR018,1,323307.00,8.18,296860.49,"Bank Transfer"
185,2025-06-14,CUS335,PRO095,SR016,2,755415.00,4.46,1443446.98,Card
186,2025-08-02,CUS334,PRO115,SR003,5,224924.00,13.60,971671.68,Cash
187,2025-03-11,CUS010,PRO031,SR017,1,467119.00,1.60,459645.10,"Bank Transfer"
188,2025-11-12,CUS170,PRO055,SR008,1,28348.00,12.77,24727.96,"Mobile Money"
189,2025-10-04,CUS377,PRO104,SR016,3,84917.00,9.96,229377.80,"Mobile Money"
190,2025-04-11,CUS471,PRO081,SR006,4,453792.00,0.42,1807544.29,Card
191,2025-08-18,CUS041,PRO026,SR004,4,792985.00,5.94,2983526.76,"Mobile Money"
192,2025-10-15,CUS377,PRO084,SR006,3,1185940.00,1.62,3500183.32,"Bank Transfer"
193,2025-04-30,CUS409,PRO078,SR014,4,538185.00,7.73,1986333.20,Cash
194,2025-12-05,CUS117,PRO018,SR016,3,354091.00,6.41,994181.30,Card
195,2025-09-20,CUS027,PRO053,SR006,2,112320.00,4.02,215609.47,"Mobile Money"
196,2025-11-16,CUS083,PRO023,SR004,5,919410.00,0.85,4557975.08,Cash
197,2025-06-29,CUS360,PRO002,SR020,5,657741.00,10.32,2949310.64,Card
198,2025-11-09,CUS155,PRO089,SR004,5,71920.00,8.51,328998.04,"Bank Transfer"
199,2025-11-10,CUS449,PRO059,SR020,1,44052.00,9.96,39664.42,Card
200,2025-12-17,CUS491,PRO107,SR012,1,54346.00,7.03,50525.48,Card
201,2025-11-20,CUS068,PRO011,SR011,5,729352.00,13.70,3147153.88,"Bank Transfer"
202,2025-06-11,CUS344,PRO018,SR009,1,354091.00,13.40,306642.81,"Bank Transfer"
203,2025-03-04,CUS088,PRO087,SR005,5,600909.00,5.37,2843200.93,"Mobile Money"
204,2025-05-18,CUS417,PRO016,SR018,3,555252.00,8.72,1520502.08,Cash
205,2025-01-28,CUS313,PRO016,SR016,1,555252.00,13.09,482569.51,"Mobile Money"
206,2025-11-16,CUS077,PRO094,SR002,2,133644.00,13.53,231123.93,"Bank Transfer"
207,2025-10-29,CUS397,PRO050,SR018,2,100204.00,5.42,189545.89,Cash
208,2025-07-05,CUS264,PRO007,SR012,5,392739.00,4.52,1874935.99,"Bank Transfer"
209,2025-01-14,CUS025,PRO085,SR019,5,796568.00,2.46,3884862.14,"Bank Transfer"
210,2025-03-24,CUS016,PRO115,SR013,5,224924.00,7.93,1035437.63,"Bank Transfer"
211,2025-06-11,CUS239,PRO105,SR014,3,88497.00,8.89,241888.85,Card
212,2025-05-14,CUS094,PRO032,SR018,4,823634.00,10.20,2958493.33,"Mobile Money"
213,2025-02-02,CUS202,PRO026,SR005,4,792985.00,10.12,2850939.67,Card
214,2025-05-09,CUS422,PRO020,SR006,1,485778.00,14.32,416214.59,"Mobile Money"
215,2025-03-15,CUS462,PRO096,SR016,5,501784.00,9.01,2282866.31,Cash
216,2025-01-02,CUS070,PRO032,SR018,2,823634.00,0.06,1646279.64,Cash
217,2025-06-15,CUS496,PRO091,SR018,3,656266.00,5.61,1858348.43,Cash
218,2025-08-06,CUS287,PRO093,SR019,5,76562.00,7.24,355094.56,"Bank Transfer"
219,2025-03-13,CUS378,PRO068,SR006,4,67949.00,1.05,268942.14,"Mobile Money"
220,2025-06-02,CUS066,PRO110,SR011,5,155218.00,6.48,725799.37,"Mobile Money"
221,2025-08-08,CUS083,PRO028,SR007,1,668880.00,11.67,590821.70,"Bank Transfer"
222,2025-11-20,CUS438,PRO036,SR013,5,453702.00,1.44,2235843.46,Cash
223,2025-07-05,CUS182,PRO071,SR018,3,984868.00,6.41,2765213.88,Card
224,2025-09-25,CUS163,PRO020,SR010,1,485778.00,5.51,459011.63,"Bank Transfer"
225,2025-12-28,CUS083,PRO024,SR004,2,457302.00,5.52,864117.86,"Mobile Money"
226,2025-09-10,CUS429,PRO003,SR005,5,323168.00,4.28,1546682.05,"Bank Transfer"
227,2025-03-15,CUS220,PRO054,SR010,4,32270.00,1.42,127247.06,"Bank Transfer"
228,2025-02-12,CUS179,PRO085,SR006,2,796568.00,11.97,1402437.62,Cash
229,2025-07-20,CUS423,PRO027,SR014,1,360130.00,2.50,351126.75,Cash
230,2025-06-26,CUS416,PRO051,SR005,4,25389.00,14.61,86718.67,"Bank Transfer"
231,2025-04-04,CUS131,PRO059,SR019,3,44052.00,13.74,113997.77,"Bank Transfer"
232,2025-08-25,CUS173,PRO015,SR013,2,473459.00,4.59,903454.46,Card
233,2025-01-29,CUS072,PRO050,SR020,5,100204.00,5.23,474816.65,Card
234,2025-04-18,CUS366,PRO047,SR011,2,734201.00,9.88,1323323.88,Card
235,2025-10-12,CUS167,PRO108,SR019,3,37237.00,13.20,96965.15,Card
236,2025-02-17,CUS225,PRO054,SR002,5,32270.00,9.10,146667.15,"Mobile Money"
237,2025-10-28,CUS242,PRO043,SR010,5,204952.00,14.27,878526.75,Card
238,2025-07-19,CUS336,PRO104,SR007,3,84917.00,14.56,217659.25,"Mobile Money"
239,2025-04-09,CUS398,PRO045,SR018,2,219710.00,12.85,382954.53,"Mobile Money"
240,2025-05-18,CUS352,PRO062,SR015,2,62577.00,3.97,120185.39,Cash
241,2025-11-23,CUS491,PRO038,SR008,3,323307.00,3.90,932094.08,"Bank Transfer"
242,2025-03-02,CUS421,PRO056,SR005,5,25963.00,0.27,129464.50,"Mobile Money"
243,2025-01-29,CUS292,PRO002,SR013,4,657741.00,0.66,2613599.64,Card
244,2025-02-07,CUS476,PRO118,SR019,2,289159.00,9.42,523840.44,"Bank Transfer"
245,2025-03-20,CUS191,PRO093,SR011,1,76562.00,10.09,68836.89,Cash
246,2025-11-09,CUS408,PRO109,SR009,1,396148.00,7.34,367070.74,"Mobile Money"
247,2025-11-09,CUS317,PRO105,SR019,2,88497.00,13.47,153152.91,"Bank Transfer"
248,2025-07-18,CUS357,PRO058,SR007,3,33720.00,12.66,88353.14,Cash
249,2025-10-07,CUS189,PRO036,SR007,3,453702.00,3.17,1317958.94,Cash
250,2025-03-30,CUS413,PRO067,SR016,4,70839.00,1.53,279020.65,"Mobile Money"
251,2025-08-30,CUS220,PRO016,SR002,1,555252.00,3.44,536151.33,"Bank Transfer"
252,2025-11-04,CUS312,PRO010,SR016,4,536463.00,5.07,2037057.30,Cash
253,2025-01-09,CUS303,PRO012,SR020,4,970378.00,14.67,3312094.19,Cash
254,2025-12-12,CUS031,PRO001,SR013,1,769936.00,0.51,766009.33,"Bank Transfer"
255,2025-05-29,CUS268,PRO014,SR011,4,861349.00,10.35,3088797.51,"Mobile Money"
256,2025-02-09,CUS025,PRO105,SR016,3,88497.00,10.10,238676.41,"Bank Transfer"
257,2025-12-27,CUS285,PRO004,SR007,4,787697.00,12.97,2742130.80,Card
258,2025-06-02,CUS124,PRO022,SR018,5,620784.00,3.43,2997455.54,Card
259,2025-12-17,CUS450,PRO081,SR018,1,453792.00,4.39,433870.53,"Mobile Money"
260,2025-09-19,CUS031,PRO094,SR009,3,133644.00,3.62,386418.26,"Mobile Money"
261,2025-09-26,CUS332,PRO034,SR010,4,183211.00,13.81,631638.24,"Mobile Money"
262,2025-07-21,CUS284,PRO071,SR008,1,984868.00,14.80,839107.54,"Mobile Money"
263,2025-12-21,CUS316,PRO113,SR001,3,125322.00,7.26,348670.87,Card
264,2025-03-25,CUS330,PRO088,SR016,2,463459.00,0.92,918390.35,"Mobile Money"
265,2025-04-02,CUS034,PRO028,SR014,2,668880.00,12.59,1169336.02,"Bank Transfer"
266,2025-06-11,CUS248,PRO108,SR009,3,37237.00,5.43,105645.09,Cash
267,2025-02-18,CUS082,PRO075,SR017,3,1072974.00,10.24,2889304.39,"Bank Transfer"
268,2025-07-05,CUS215,PRO087,SR014,3,600909.00,6.51,1685369.47,Cash
269,2025-08-13,CUS348,PRO018,SR017,4,354091.00,4.42,1353760.71,Cash
270,2025-03-09,CUS002,PRO080,SR017,4,838717.00,3.69,3231073.37,Cash
271,2025-06-10,CUS304,PRO074,SR006,4,1075812.00,8.43,3940484.19,"Bank Transfer"
272,2025-11-01,CUS135,PRO109,SR012,2,396148.00,4.95,753077.35,Cash
273,2025-08-03,CUS228,PRO038,SR004,3,323307.00,0.62,963907.49,"Mobile Money"
274,2025-11-23,CUS207,PRO052,SR006,3,40491.00,1.40,119772.38,Cash
275,2025-04-17,CUS424,PRO029,SR003,4,830663.00,10.09,2987396.41,Card
276,2025-12-13,CUS170,PRO022,SR015,1,620784.00,5.93,583971.51,"Bank Transfer"
277,2025-12-16,CUS143,PRO005,SR001,3,441778.00,10.97,1179944.86,"Bank Transfer"
278,2025-06-26,CUS338,PRO026,SR011,3,792985.00,0.38,2369914.97,Card
279,2025-01-26,CUS141,PRO060,SR001,2,43460.00,9.67,78514.84,Card
280,2025-04-25,CUS125,PRO063,SR015,2,36766.00,0.74,72987.86,Card
281,2025-05-16,CUS258,PRO025,SR020,5,199950.00,6.16,938165.40,"Bank Transfer"
282,2025-01-28,CUS356,PRO104,SR007,2,84917.00,8.27,155788.73,"Bank Transfer"
283,2025-09-19,CUS091,PRO055,SR016,4,28348.00,1.57,111611.75,Card
284,2025-10-28,CUS091,PRO048,SR019,5,789868.00,0.70,3921694.62,"Mobile Money"
285,2025-03-11,CUS157,PRO106,SR012,2,60666.00,0.45,120786.01,"Mobile Money"
286,2025-09-22,CUS403,PRO025,SR005,1,199950.00,6.07,187813.04,Card
287,2025-09-13,CUS235,PRO025,SR003,4,199950.00,14.84,681109.68,"Bank Transfer"
288,2025-12-10,CUS372,PRO043,SR012,5,204952.00,11.20,909986.88,Card
289,2025-02-13,CUS002,PRO038,SR007,5,323307.00,7.88,1489152.04,Cash
290,2025-03-29,CUS408,PRO085,SR002,3,796568.00,10.53,2138068.17,Cash
291,2025-08-01,CUS484,PRO027,SR020,1,360130.00,9.16,327142.09,Cash
292,2025-09-18,CUS087,PRO031,SR003,2,467119.00,1.92,916300.63,Cash
293,2025-04-09,CUS346,PRO110,SR015,4,155218.00,4.41,593491.54,Card
294,2025-06-11,CUS284,PRO098,SR008,3,665534.00,14.53,1706495.73,Card
295,2025-08-18,CUS476,PRO030,SR001,4,424398.00,0.04,1696912.96,Cash
296,2025-07-18,CUS019,PRO012,SR001,2,970378.00,4.23,1858662.02,"Mobile Money"
297,2025-01-09,CUS157,PRO002,SR015,1,657741.00,4.47,628339.98,Cash
298,2025-01-11,CUS153,PRO119,SR015,2,312835.00,0.35,623480.16,Cash
299,2025-03-27,CUS091,PRO059,SR018,2,44052.00,12.95,76694.53,"Bank Transfer"
300,2025-10-02,CUS334,PRO026,SR001,1,792985.00,9.00,721616.35,"Mobile Money"
301,2025-04-06,CUS210,PRO116,SR015,1,125303.00,7.34,116105.76,"Mobile Money"
